,Close,Date,High,Low,Market Cap,Open,Volume
0,0.066895,"Jun 24, 2018",0.068330,0.059398,"12,628,600",0.068263,"3,862,040"
1,0.068138,"Jun 23, 2018",0.073093,0.067070,"12,616,700",0.068199,"3,895,750"
2,0.068408,"Jun 22, 2018",0.078471,0.066836,"14,501,300",0.078385,"4,631,140"
3,0.078120,"Jun 21, 2018",0.086187,0.077668,"15,865,000",0.085757,"4,514,530"
4,0.085792,"Jun 20, 2018",0.089168,0.084643,"16,433,600",0.088830,"4,581,490"
5,0.090221,"Jun 19, 2018",0.095445,0.088502,"17,657,300",0.095445,"5,507,670"
6,0.095413,"Jun 18, 2018",0.097183,0.076755,"14,427,600",0.077987,"5,891,900"
7,0.077883,"Jun 17, 2018",0.081018,0.076231,"14,167,900",0.076583,"4,074,280"
8,0.076594,"Jun 16, 2018",0.079540,0.074541,"14,181,100",0.076654,"4,302,130"
9,0.076847,"Jun 15, 2018",0.085880,0.076076,"15,691,500",0.084819,"4,104,570"
10,0.084900,"Jun 14, 2018",0.086297,0.074980,"13,927,900",0.075286,"4,721,920"
11,0.075128,"Jun 13, 2018",0.081128,0.074494,"14,661,600",0.079252,"5,289,030"
12,0.079294,"Jun 12, 2018",0.089627,0.076666,"15,024,900",0.081216,"5,199,360"
13,0.081183,"Jun 11, 2018",0.081590,0.076567,"14,409,100",0.077887,"3,898,340"
14,0.077457,"Jun 10, 2018",0.095828,0.075884,"17,728,300",0.095828,"4,462,160"
15,0.095978,"Jun 09, 2018",0.101939,0.095978,"18,764,500",0.101430,"5,525,350"
16,0.101327,"Jun 08, 2018",0.107130,0.099901,"19,651,100",0.106222,"4,958,650"
17,0.106041,"Jun 07, 2018",0.112049,0.105834,"20,187,700",0.109123,"4,687,100"
18,0.109052,"Jun 06, 2018",0.115112,0.107248,"21,224,600",0.114728,"4,995,650"
19,0.114863,"Jun 05, 2018",0.119768,0.107744,"21,134,700",0.114242,"5,252,760"
20,0.114368,"Jun 04, 2018",0.126163,0.112157,"23,204,200",0.125428,"5,309,030"
21,0.125532,"Jun 03, 2018",0.132857,0.123656,"24,341,200",0.131574,"5,241,040"
22,0.131597,"Jun 02, 2018",0.136561,0.126420,"23,458,700",0.126804,"5,871,150"
23,0.126258,"Jun 01, 2018",0.128389,0.118619,"22,325,000",0.120676,"5,484,170"
24,0.120422,"May 31, 2018",0.125823,0.112841,"21,971,200",0.118763,"5,072,480"
25,0.118488,"May 30, 2018",0.123671,0.115185,"21,504,200",0.116239,"5,273,450"
26,0.116463,"May 29, 2018",0.117250,0.106589,"19,995,500",0.108084,"5,359,190"
27,0.108304,"May 28, 2018",0.118944,0.103608,"20,163,500",0.108992,"5,156,850"
28,0.109132,"May 27, 2018",0.111554,0.108089,"20,563,600",0.111154,"3,547,070"
29,0.110996,"May 26, 2018",0.118403,0.110764,"21,336,700",0.115334,"4,160,250"
30,0.115585,"May 25, 2018",0.117801,0.110171,"21,295,600",0.115111,"4,789,230"
31,0.115053,"May 24, 2018",0.119435,0.104080,"20,890,600",0.112922,"5,889,780"
32,0.113735,"May 23, 2018",0.131376,0.105626,"24,050,700",0.130004,"5,786,200"
33,0.129777,"May 22, 2018",0.146566,0.128918,"27,071,600",0.146333,"6,403,270"
34,0.146684,"May 21, 2018",0.164251,0.144660,"28,309,600",0.153025,"5,936,330"
35,0.152589,"May 20, 2018",0.152629,0.146077,"27,470,700",0.148490,"5,790,610"
36,0.148269,"May 19, 2018",0.162766,0.144138,"30,111,800",0.162766,"7,526,480"
37,0.163056,"May 18, 2018",0.166808,0.147548,"28,843,100",0.155909,"6,913,700"
38,0.155554,"May 17, 2018",0.175976,0.153339,"29,180,600",0.157733,"6,588,020"
39,0.157437,"May 16, 2018",0.171413,0.149554,"31,629,700",0.170971,"7,902,640"
40,0.170814,"May 15, 2018",0.198154,0.169142,"33,814,200",0.182779,"6,331,610"
41,0.181942,"May 14, 2018",0.203664,0.152729,"31,336,800",0.169388,"2,900,780"
42,0.171076,"May 13, 2018",0.176862,0.135480,"26,169,100",0.141455,"3,494,990"
43,0.138750,"May 12, 2018",0.152391,0.123315,"27,533,500",0.148830,"4,355,160"
44,0.148936,"May 11, 2018",0.178595,0.145565,"32,985,200",0.178298,"3,435,790"
45,0.178369,"May 10, 2018",0.217995,0.171616,"36,905,000",0.199487,"4,080,490"
46,0.199878,"May 09, 2018",0.212940,0.189413,"38,781,700",0.209631,"5,853,260"
47,0.209547,"May 08, 2018",0.233546,0.207087,"41,669,600",0.225241,"6,756,830"
48,0.224330,"May 07, 2018",0.250833,0.209708,"44,602,500",0.241095,"8,550,770"
49,0.239324,"May 06, 2018",0.273365,0.203463,"45,052,700",0.243528,"12,691,400"
50,0.239400,"May 05, 2018",0.246053,0.198000,"37,200,700",0.201085,"10,853,900"
51,0.200834,"May 04, 2018",0.204643,0.176045,"34,503,800",0.186507,"8,317,990"
52,0.186645,"May 03, 2018",0.200089,0.182165,"36,763,100",0.198720,"11,532,300"
53,0.199689,"May 02, 2018",0.216587,0.186578,"37,352,600",0.201906,"11,084,000"
54,0.196048,"May 01, 2018",0.225733,0.145548,"31,171,600",0.168495,"15,568,400"
55,0.167681,"Apr 30, 2018",0.201497,0.146930,"27,809,300",0.150321,"10,544,500"
56,0.150366,"Apr 29, 2018",0.161400,0.142681,"27,943,800",0.151048,"7,826,790"
57,0.151259,"Apr 28, 2018",0.155167,0.130455,"24,147,700",0.130528,"8,590,740"
58,0.131379,"Apr 27, 2018",0.137632,0.125352,"24,220,400",0.130921,"5,504,790"
59,0.130716,"Apr 26, 2018",0.131329,0.114520,"22,738,000",0.122908,"7,592,150"
60,0.121648,"Apr 25, 2018",0.156696,0.118797,"28,988,800",0.156696,"8,236,430"
61,0.159196,"Apr 24, 2018",0.164547,0.145918,"27,091,000",0.146438,"5,507,010"
62,0.146448,"Apr 23, 2018",0.160471,0.144924,"26,811,200",0.144926,"2,957,040"
63,0.145499,"Apr 22, 2018",0.154873,0.132316,"24,957,400",0.134905,"10,213,400"
64,0.134002,"Apr 21, 2018",0.151208,0.127753,"26,377,300",0.142580,"9,946,520"
65,0.141911,"Apr 20, 2018",0.153771,0.115928,"22,959,400",0.124105,"10,394,500"
66,0.124406,"Apr 19, 2018",0.124406,0.104248,"19,491,500",0.105360,"8,747,750"
67,0.105613,"Apr 18, 2018",0.106445,0.102572,"19,179,500",0.103673,"6,064,420"
68,0.103481,"Apr 17, 2018",0.110660,0.102145,"19,568,700",0.105777,"4,800,080"
69,0.105779,"Apr 16, 2018",0.109248,0.102753,"19,714,000",0.106562,"2,455,010"
70,0.106341,"Apr 15, 2018",0.110457,0.101831,"18,838,700",0.101831,"7,093,270"
71,0.101832,"Apr 14, 2018",0.104943,0.098944,"18,816,600",0.101711,"6,428,920"
72,0.101911,"Apr 13, 2018",0.109547,0.098387,"19,104,300",0.103266,"7,501,490"
73,0.102540,"Apr 12, 2018",0.102540,0.085434,"16,371,500",0.088495,"6,497,130"
74,0.088830,"Apr 11, 2018",0.092393,0.085693,"16,447,500",0.088905,"5,680,230"
75,0.088928,"Apr 10, 2018",0.092445,0.083594,"15,864,200",0.085753,"6,067,380"
76,0.085494,"Apr 09, 2018",0.089423,0.081009,"16,094,000",0.086995,"6,296,080"
77,0.087067,"Apr 08, 2018",0.089809,0.083014,"15,391,300",0.083196,"6,077,480"
78,0.083376,"Apr 07, 2018",0.094141,0.076293,"14,114,200",0.076293,"6,896,200"
79,0.076436,"Apr 06, 2018",0.079676,0.074901,"14,153,500",0.076506,"5,588,780"
80,0.076772,"Apr 05, 2018",0.078353,0.073705,"14,102,200",0.076228,"5,743,450"
81,0.076194,"Apr 04, 2018",0.087960,0.074504,"16,272,600",0.087960,"5,339,400"
82,0.087823,"Apr 03, 2018",0.088704,0.080434,"14,980,900",0.080978,"4,937,590"
83,0.080821,"Apr 02, 2018",0.087663,0.080043,"15,599,300",0.084321,"5,260,890"
84,0.083663,"Apr 01, 2018",0.092550,0.077758,"16,950,900",0.091627,"6,985,680"
85,0.091679,"Mar 31, 2018",0.101868,0.090732,"17,800,300",0.096218,"7,677,300"
86,0.096821,"Mar 30, 2018",0.103930,0.092070,"17,970,900",0.097140,"7,666,140"
87,0.097379,"Mar 29, 2018",0.136073,0.096224,"21,433,800",0.115858,"7,545,440"
88,0.115725,"Mar 28, 2018",0.202126,0.096456,"18,082,500",0.097743,"13,739,700"
89,0.097705,"Mar 27, 2018",0.107165,0.097496,"19,706,300",0.106520,"7,375,450"
90,0.106614,"Mar 26, 2018",0.110606,0.102156,"20,193,600",0.109154,"10,317,200"
91,0.109310,"Mar 25, 2018",0.113553,0.107849,"20,698,000",0.111881,"9,544,620"
92,0.113049,"Mar 24, 2018",0.118984,0.112359,"21,049,200",0.113779,"9,976,390"
93,0.112544,"Mar 23, 2018",0.112544,0.103674,"20,413,900",0.110346,"9,443,810"
94,0.110530,"Mar 22, 2018",0.115696,0.104240,"20,659,900",0.111675,"8,135,300"
95,0.111723,"Mar 21, 2018",0.118969,0.109935,"20,785,000",0.112352,"10,239,400"
96,0.111859,"Mar 20, 2018",0.114009,0.102569,"20,240,000",0.109405,"9,947,100"
97,0.108655,"Mar 19, 2018",0.115729,0.105003,"20,000,500",0.108111,"11,004,000"
98,0.108326,"Mar 18, 2018",0.110381,0.088865,"19,983,900",0.108021,"11,262,700"
99,0.108284,"Mar 17, 2018",0.121816,0.108014,"22,129,600",0.119619,"10,650,700"
100,0.119553,"Mar 16, 2018",0.127358,0.116230,"23,341,200",0.126169,"11,531,900"
101,0.126458,"Mar 15, 2018",0.132990,0.108871,"24,421,800",0.132010,"13,171,700"
102,0.131793,"Mar 14, 2018",0.154691,0.127714,"27,945,600",0.151057,"13,306,200"
103,0.151156,"Mar 13, 2018",0.162191,0.149838,"29,493,500",0.159424,"12,573,500"
104,0.159791,"Mar 12, 2018",0.174339,0.155479,"31,513,500",0.170343,"14,945,200"
105,0.170346,"Mar 11, 2018",0.172682,0.151461,"29,045,300",0.157002,"14,349,000"
106,0.157519,"Mar 10, 2018",0.171057,0.156208,"29,913,300",0.161693,"15,085,000"
107,0.161153,"Mar 09, 2018",0.161537,0.133949,"28,653,500",0.154884,"15,801,100"
108,0.155080,"Mar 08, 2018",0.185687,0.148655,"33,917,300",0.183337,"15,708,900"
109,0.183624,"Mar 07, 2018",0.218994,0.173551,"40,270,900",0.217681,"15,007,600"
110,0.217897,"Mar 06, 2018",0.245036,0.217406,"43,483,600",0.235047,"12,839,000"
111,0.235045,"Mar 05, 2018",0.257855,0.234258,"44,018,100",0.237936,"17,363,900"
112,0.237912,"Mar 04, 2018",0.241869,0.230893,"44,197,800",0.238907,"16,587,200"
113,0.239005,"Mar 03, 2018",0.248300,0.230574,"43,785,500",0.236678,"8,668,020"
114,0.236822,"Mar 02, 2018",0.250546,0.233320,"46,079,700",0.249079,"11,004,700"
115,0.249166,"Mar 01, 2018",0.256058,0.238978,"44,864,700",0.242512,"13,552,700"
116,0.242505,"Feb 28, 2018",0.267075,0.228998,"49,409,000",0.267075,"13,046,100"
117,0.267110,"Feb 27, 2018",0.268612,0.206241,"47,500,600",0.256760,"10,803,200"
118,0.255799,"Feb 26, 2018",0.264523,0.241248,"48,519,700",0.262269,"5,434,050"
119,0.262494,"Feb 25, 2018",0.270165,0.247349,"49,344,200",0.266726,"5,374,870"
120,0.267224,"Feb 24, 2018",0.279777,0.261714,"51,499,300",0.278375,"5,744,500"
121,0.278194,"Feb 23, 2018",0.289007,0.270784,"51,106,700",0.276252,"5,723,440"
122,0.276155,"Feb 22, 2018",0.312758,0.270284,"54,394,400",0.294024,"5,423,570"
123,0.294372,"Feb 21, 2018",0.348172,0.257395,"49,863,800",0.269534,"8,088,090"
124,0.270059,"Feb 20, 2018",0.306480,0.265334,-,0.301287,"4,839,020"
125,0.301347,"Feb 19, 2018",0.319819,0.300770,-,0.310824,"6,155,920"
126,0.313630,"Feb 18, 2018",0.354956,0.310053,-,0.354631,"5,882,590"
127,0.352174,"Feb 17, 2018",0.358548,0.337138,-,0.339191,"6,849,540"
128,0.339166,"Feb 16, 2018",0.352084,0.327884,-,0.343151,"6,425,190"
129,0.342879,"Feb 15, 2018",0.353982,0.324624,-,0.337991,"6,426,900"
130,0.337774,"Feb 14, 2018",0.347111,0.287311,-,0.292128,"6,623,740"
131,0.291780,"Feb 13, 2018",0.313411,0.286314,-,0.310907,"5,238,760"
132,0.310603,"Feb 12, 2018",0.336967,0.292625,-,0.295652,"5,191,790"
133,0.293596,"Feb 11, 2018",0.334588,0.280198,-,0.334588,"4,434,940"
134,0.335767,"Feb 10, 2018",0.375206,0.317789,-,0.356302,"3,199,060"
135,0.356039,"Feb 09, 2018",0.371323,0.315388,-,0.352784,"8,048,130"
136,0.355163,"Feb 08, 2018",0.387507,0.337520,-,0.346028,"7,552,860"
137,0.347640,"Feb 07, 2018",0.404085,0.347640,-,0.376164,"6,349,670"
138,0.317545,"Feb 03, 2018",0.318502,0.317545,-,0.318502,"122,744"
